DateTime,AddedIPs,RemovedIPs
1579854493,3,3
1579855333,2,4
1579856171,3,4
1579857317,5,2
1579859254,5,6
1579860615,4,6
1579862535,8,8
1579864454,3,11
1579865291,3,2
1579866972,8,9
1579868055,5,2
1579869234,3,2
1579870512,3,1
1579871715,3,2
1579873216,7,6
1579874174,3,2
1579875254,4,3
1579876486,2,0
1579877828,3,4
1579879214,2,4
1579880414,3,1
1579881371,3,3
1579882518,2,6
1579883712,4,7
1579884972,8,6
1579886892,6,8
1579887734,2,5
1579889653,6,7
1579890916,2,5
1579893256,11,5
1579894098,4,2
1579895325,5,0
1579896853,7,6
1579897690,5,1
1579899373,6,6
1579900516,4,6
1579901292,3,1
1579902140,3,5
1579904054,8,9
1579905733,8,8
1579907654,9,12
1579908913,4,8
1579910114,4,4
1579911256,3,2
1579912404,7,2
1579914260,7,4
1579914852,3,4
1579916534,6,8
1579917371,1,4
1579918453,1,4
1579920132,7,6
1579922053,9,10
1579923324,1,5
1579924573,4,4
1579926492,6,6
1579928112,3,4
1579929255,4,0
1579930942,5,8
1579931773,3,3
1579932915,5,3
1579934115,0,3
1579935632,2,2
1579936454,0,2
1579938014,4,6
1579939801,4,1
1579940051,1,0
1579941733,5,4
1579942574,0,6
1579943746,2,6
1579945332,5,4
1579947253,7,5
1579950623,3,11
1579951700,2,2
1579952799,1,6
1579954453,4,4
1579956133,4,0
1579956973,5,2
1579958112,4,5
1579959616,3,2
1579960572,3,5
1579961714,1,1
1579963332,10,4
1579965015,10,7
1579966933,10,4
1579967773,3,2
1579968852,1,4
1579970415,5,3
1579971372,3,1
1579972454,4,4
1579973291,3,2
1579974971,9,3
1579976115,5,2
1579977313,5,6
1579978574,8,9
1579979716,2,6
1579981335,6,4
1579982487,5,4
1579983616,9,11
1579984813,7,8
1579986854,2,11
1579987694,3,1
1579988536,6,4
1579989371,9,5
1579990454,6,7
1579991291,2,3
1579992131,4,6
1579994052,9,5
1579995732,4,5
1579997654,5,9
1579998492,1,3
1580000166,5,7
1580001317,3,3
1580002932,4,3
1580004622,4,4
1580007993,7,11
1580009298,8,1
1580010803,11,1
1580012117,5,6
1580013912,6,5
1580015421,3,8
1580017335,7,8
1580019014,3,3
1580020217,9,2
1580021774,6,6
1580022914,3,4
1580024016,5,5
1580025266,5,3
1580026515,3,4
1580027715,5,10
1580028970,10,8
1580030053,6,4
1580030891,1,4
1580032485,3,5
1580033713,4,0
1580034915,7,7
1580036114,11,4
1580037304,2,6
1580038092,6,3
1580039704,2,4
1580040915,4,7
1580042532,3,4
1580044449,10,3
1580046133,6,4
1580047252,3,2
1580048907,2,9
1580049731,5,2
1580050572,3,1
1580051653,4,4
1580052491,5,4
1580054132,8,6
1580054431,1,1
1580055254,3,1
1580056511,0,2
1580058853,6,13
1580060415,6,7
1580062174,2,12
1580063592,2,3
1580064972,13,2
1580066051,8,1
1580067737,7,18
1580068572,2,4
1580069715,3,3
1580070510,4,1
1580071774,5,3
1580073252,4,7
1580074511,2,9
1580075857,2,13
1580076854,1,8
1580078533,6,8
1580080454,20,4
1580082151,12,5
1580083543,17,6
1580084719,8,4
1580085732,8,6
1580086574,6,4
1580087715,7,7
1580088493,3,1
1580090112,7,3
1580091254,3,7
1580092934,7,11
1580094852,4,5
1580095693,2,4
1580097316,4,3
1580098456,4,5
1580100149,10,7
1580101823,8,9
1580102895,3,6
1580104571,3,2
1580105715,8,4
1580107219,16,10
1580108171,4,9
1580109317,5,2
1580110499,2,3
1580111712,13,4
1580112915,6,3
1580114418,7,6
1580116216,9,7
1580116455,1,0
1580118136,6,10
1580118974,0,2
1580120065,1,2
1580121617,1,9
1580122836,2,5
1580124014,4,3
1580125327,10,6
1580126451,9,6
1580128088,9,9
1580128950,6,7
1580130855,4,7
1580131694,6,4
1580132861,3,6
1580134221,10,7
1580135291,1,6
1580136976,2,7
1580138055,6,2
1580138898,2,1
1580140207,3,5
1580141414,3,4
1580142617,1,10
1580144111,5,11
1580145310,2,6
1580146095,6,0
1580146940,3,2
1580148097,5,8
1580149216,7,4
1580150412,3,5
1580151638,0,6
1580152817,5,1
1580154314,6,8
1580155821,5,0
1580157614,5,6
1580158575,0,3
1580159713,9,5
1580160844,11,6
1580161334,2,2
1580162540,1,4
1580164093,7,6
1580165772,10,4
1580166853,3,6
1580167691,3,3
1580169314,6,12
1580170453,4,7
1580172143,4,8
1580173444,1,7
1580175016,7,3
1580175734,3,0
1580176572,5,9
1580177655,8,19
1580178491,5,0
1580179335,2,1
1580181255,10,8
1580182092,4,5
1580183775,4,7
1580184852,2,4
1580186113,2,3
1580187636,6,6
1580189295,7,6
1580190976,7,7
1580192051,3,5
1580193617,2,4
1580195414,4,7
1580195653,1,0
1580196496,2,0
1580198112,5,4
1580199219,1,4
1580200932,7,2
1580202215,2,1
1580203489,6,2
1580204716,9,8
1580205877,5,2
1580207687,5,6
1580208917,5,3
1580210116,3,4
1580210911,1,1
1580212573,6,4
1580212846,1,2
1580214017,5,2
1580215130,5,13
1580216670,5,6
1580217256,3,1
1580218512,2,3
1580219795,3,5
1580220853,3,4
1580222416,3,3
1580224215,4,3
1580226133,5,3
1580227402,1,1
1580229016,8,4
1580229733,3,2
1580231422,9,1
1580232491,3,3
1580233898,4,4
1580235014,45,3
1580236216,2,6
1580237771,3,4
1580238855,5,3
1580239692,1,4
1580240535,6,1
1580242450,6,8
1580243291,3,2
1580244644,15,3
1580246056,6,6
1580247615,9,8
1580248572,2,5
1580249714,4,7
1580250859,4,6
1580252171,6,1
1580253286,3,3
1580254657,8,4
1580256444,8,7
1580256852,5,3
1580258112,4,3
1580259311,3,6
1580260452,4,4
1580261294,2,3
1580262971,8,4
1580264052,5,4
1580265314,7,6
1580266514,7,5
1580267716,2,5
1580268914,4,6
1580270111,5,5
1580271252,2,7
1580272097,4,5
1580272934,8,4
1580274852,6,6
1580276532,8,9
1580277374,5,3
1580278452,2,5
1580279580,3,2
1580280710,5,4
1580281813,9,7
1580282937,5,5
1580284060,7,3
1580285330,5,3
1580286492,5,3
1580287336,3,4
1580288175,5,3
1580289315,1,1
1580290502,5,6
1580291711,3,5
1580294535,12,12
1580296455,3,15
