DateTime,Entries,UniqueIPs
1579795787,996,996
1579796054,993,993
1579797311,998,998
1579798437,991,991
1579799650,988,988
1579800489,999,999
1579801333,992,992
1579803252,989,989
1579804510,992,992
1579805680,993,993
1579807691,998,998
1579809310,1003,1003
1579810512,1013,1013
1579812133,1014,1014
1579812969,1021,1021
1579814051,1024,1024
1579815614,1019,1019
1579816571,1023,1023
1579818490,1036,1036
1579821250,1028,1028
1579822107,1032,1032
1579824613,1034,1034
1579826535,1043,1043
1579827372,1046,1046
1579828453,1027,1027
1579830131,1022,1022
1579831231,1024,1024
1579832413,1023,1023
1579833745,1014,1014
1579834570,1018,1018
1579835650,1020,1020
1579836491,1029,1029
1579838173,1012,1012
1579839314,1006,1006
1579840094,1012,1012
1579842619,1002,1002
1579843817,998,998
1579845373,1004,1004
1579846469,997,997
1579848017,994,994
1579848971,999,999
1579850051,1001,1001
1579851732,994,994
1579852572,992,992
1579853654,999,999
1579854492,1009,1009
1579855332,1000,1000
1579856170,1001,1001
1579857315,1009,1009
1579858092,1015,1015
1579859253,1002,1002
1579860614,1009,1009
1579862534,1010,1010
1579864453,1007,1007
1579865290,1006,1006
1579866971,1014,1014
1579868054,1034,1034
1579869232,1024,1024
1579870511,1032,1032
1579871714,1033,1033
1579873214,1026,1026
1579874173,1034,1034
1579875253,1024,1024
1579876485,1026,1026
1579877826,1021,1021
1579879213,1028,1028
1579880413,1026,1026
1579881370,1030,1030
1579882517,1027,1027
1579883710,1016,1016
1579884970,1021,1021
1579886891,1021,1021
1579887733,1018,1018
1579889652,1025,1025
1579890915,1028,1028
1579893255,1018,1018
1579894097,1018,1018
1579895324,957,957
1579896852,972,972
1579897689,981,981
1579899371,982,982
1579900514,984,984
1579901291,1038,1038
1579902139,1036,1036
1579904053,1046,1046
1579905732,1033,1033
1579907653,1047,1047
1579908911,1044,1044
1579910113,1051,1051
1579911254,1050,1050
1579912402,1050,1050
1579914259,1048,1048
1579914851,1054,1054
1579916533,1054,1054
1579917370,1055,1055
1579918451,1052,1052
1579920131,1046,1046
1579922052,1052,1052
1579923323,1050,1050
1579924572,1054,1054
1579926491,1061,1061
1579928111,1054,1054
1579929254,1051,1051
1579930941,1054,1054
1579931772,1061,1061
1579932914,1054,1054
1579934114,1059,1059
1579935631,1052,1052
1579936453,1057,1057
1579938013,1054,1054
1579939800,1053,1053
1579940050,1054,1054
1579941732,1053,1053
1579942573,1056,1056
1579943745,1054,1054
1579945331,1060,1060
1579947252,1060,1060
1579950621,1041,1041
1579951699,1052,1052
1579952798,1044,1044
1579954451,1035,1035
1579956132,1031,1031
1579956971,1030,1030
1579958111,1026,1026
1579959615,1017,1017
1579960571,1022,1022
1579961713,1015,1015
1579963331,1018,1018
1579965013,1023,1023
1579966932,1022,1022
1579967772,1030,1030
1579968851,1039,1039
1579970414,1030,1030
1579971371,1029,1029
1579972453,1034,1034
1579973290,1034,1034
1579974970,1024,1024
1579976114,1025,1025
1579977312,1022,1022
1579978573,1018,1018
1579979714,1010,1010
1579981333,997,997
1579982486,985,985
1579983614,990,990
1579984811,989,989
1579986853,996,996
1579987693,1002,1002
1579988535,985,985
1579989370,985,985
1579990453,982,982
1579991290,986,986
1579992130,985,985
1579994051,994,994
1579995731,982,982
1579997652,988,988
1579998491,992,992
1580000165,993,993
1580001315,987,987
1580002931,989,989
1580004621,985,985
1580007990,979,979
1580009297,981,981
1580010802,974,974
1580012114,979,979
1580013911,977,977
1580015420,974,974
1580017334,976,976
1580019012,976,976
1580020215,970,970
1580021773,971,971
1580022913,972,972
1580024015,961,961
1580025265,958,958
1580026514,962,962
1580027713,964,964
1580028969,968,968
1580030051,968,968
1580030890,972,972
1580032484,971,971
1580033712,982,982
1580034914,992,992
1580036113,999,999
1580037301,996,996
1580038090,1002,1002
1580039703,996,996
1580040914,983,983
1580042531,977,977
1580044448,974,974
1580046132,977,977
1580047250,980,980
1580048905,987,987
1580049730,975,975
1580050570,980,980
1580051652,979,979
1580052490,983,983
1580054131,984,984
1580054430,977,977
1580055253,983,983
1580056510,979,979
1580058852,978,978
1580060413,976,976
1580062172,991,991
1580062455,995,995
1580063590,995,995
1580064971,1001,1001
1580066050,1055,1055
1580067736,1053,1053
1580068571,1057,1057
1580069714,1049,1049
1580070493,1051,1051
1580071773,994,994
1580073250,1014,1014
1580074510,1006,1006
1580075856,1013,1013
1580076852,1016,1016
1580078532,1016,1016
1580080453,1014,1014
1580082150,1006,1006
1580083542,1009,1009
1580084718,1019,1019
1580085731,1011,1011
1580086573,1025,1025
1580087714,1017,1017
1580088492,1041,1041
1580090111,1048,1048
1580091253,1042,1042
1580092933,1048,1048
1580094851,1054,1054
1580095692,1056,1056
1580097315,1041,1041
1580098455,1046,1046
1580100132,1044,1044
1580101821,1098,1098
1580102894,1107,1107
1580104570,1107,1107
1580105713,1106,1106
1580107218,1099,1099
1580108170,1104,1104
1580109316,1098,1098
1580110498,1091,1091
1580111711,1092,1092
1580112914,1095,1095
1580114417,1094,1094
1580116214,1101,1101
1580116454,1106,1106
1580118134,1106,1106
1580118973,1113,1113
1580120064,1118,1118
1580121616,1166,1166
1580122834,1166,1166
1580124012,1161,1161
1580125322,1157,1157
1580126449,1152,1152
1580128949,1210,1210
1580130854,1210,1210
1580131693,1225,1225
1580132859,1226,1226
1580134220,1224,1224
1580135290,1230,1230
1580136975,1220,1220
1580138054,1220,1220
1580138896,1231,1231
1580140205,1230,1230
1580141413,1223,1223
1580142615,1236,1236
1580144110,1235,1235
1580145309,1268,1268
1580146094,1270,1270
1580146939,1270,1270
1580148096,1279,1279
1580149214,1286,1286
1580150411,1286,1286
1580151637,1284,1284
1580152816,1290,1290
1580154313,1295,1295
1580155820,1296,1296
1580157612,1292,1292
1580158574,1296,1296
1580159712,1303,1303
1580160843,1295,1295
1580161332,1296,1296
1580162538,1294,1294
1580164091,1299,1299
1580165771,1319,1319
1580166851,1313,1313
1580167690,1318,1318
1580169312,1317,1317
1580170451,1310,1310
1580172142,1303,1303
1580173442,1303,1303
1580175014,1309,1309
1580175733,1312,1312
1580176571,1316,1316
1580177653,1333,1333
1580178490,1347,1347
1580179334,1351,1351
1580181254,1355,1355
1580182090,1360,1360
1580183773,1348,1348
1580184851,1347,1347
1580186112,1349,1349
1580187633,1344,1344
1580189294,1363,1363
1580190975,1371,1371
1580192050,1362,1362
1580193615,1358,1358
1580195413,1361,1361
1580195652,1361,1361
1580196495,1363,1363
1580198111,1361,1361
1580199217,1368,1368
1580200931,1365,1365
1580202214,1370,1370
1580203487,1387,1387
1580204714,1360,1360
1580205876,1347,1347
1580207686,1346,1346
1580208916,1350,1350
1580210115,1336,1336
1580210909,1336,1336
1580212572,1332,1332
1580212843,1327,1327
1580214015,1329,1329
1580215129,1328,1328
1580216668,1329,1329
1580217255,1333,1333
1580218511,1330,1330
1580219794,1335,1335
1580220851,1334,1334
1580222414,1332,1332
1580224214,1331,1331
1580226132,1311,1311
1580227401,1299,1299
1580229015,1306,1306
1580229732,1304,1304
1580231421,1313,1313
1580232490,1314,1314
1580233897,1270,1270
1580235012,1268,1268
1580236214,1214,1214
1580237769,1211,1211
1580238854,1210,1210
1580239691,1216,1216
1580240532,1212,1212
1580242449,1203,1203
1580243290,1207,1207
1580244643,1212,1212
1580246054,1206,1206
1580247614,1205,1205
1580248571,1205,1205
1580249713,1198,1198
1580250858,1186,1186
1580252170,1188,1188
1580253285,1185,1185
1580254656,1184,1184
1580256442,1180,1180
1580256851,1185,1185
1580258111,1158,1158
1580259310,1161,1161
1580260451,1160,1160
1580261293,1162,1162
1580262970,1154,1154
1580264051,1150,1150
1580265313,1153,1153
1580266513,1155,1155
1580267714,1153,1153
1580268913,1141,1141
1580270110,1139,1139
1580271251,1135,1135
1580272096,1137,1137
1580272932,1083,1083
1580274851,1081,1081
1580276531,1070,1070
1580277373,1072,1072
1580278451,1067,1067
1580279579,1067,1067
1580280709,1072,1072
1580281811,1078,1078
1580282936,1080,1080
1580284059,1073,1073
1580285329,1071,1071
1580286491,1078,1078
1580287335,1061,1061
1580288174,1064,1064
1580289314,1064,1064
1580290501,1021,1021
1580291710,1015,1015
1580292911,1016,1016
1580294534,1012,1012
1580295371,1017,1017
1580296454,1009,1009
